State,Voter Turnout,Total Ballots,Year,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
District of Columbia,,,2002,412062,458631,10.0,0,0,0,0
Florida,45.9,5143674,2002,11194391,13005435,10.9,80352,291315,5223,231233
Georgia,,,2002,5731983,6287215,6.5,47004,367349,20822,251501
Hawaii,44.2,385462,2002,872992,950520,8.0,5635,0,0,5635
Idaho,45.2,416533,2002,921256,970916,4.0,5825,31361,1961,23467
Illinois,42.8,3651808,2002,8540965,9302571,8.9,43186,0,0,43186
Indiana,,,2002,4494191,4587747,2.6,22576,0,0,22576
Iowa,48.7,1040201,2002,2136683,2214936,2.5,8395,19970,2787,21167
Kansas,44.9,851966,2002,1897261,2007407,4.1,9009,15217,3990,20608
Kentucky,,,2002,3044267,3100972,1.7,16377,24480,5968,34585
Louisiana,40.1,1267225,2002,3163663,3312330,1.7,36091,36257,23049,77269
Maine,,,2002,995056,1001796,1.6,0,0,0,0
Maryland,46.8,1721626,2002,3678346,4082694,6.9,24186,81982,13271,78448
Massachusetts,49.8,2220301,2002,4458820,4919958,8.2,10511,0,0,10511
Michigan,45.0,3219864,2002,7147888,7445335,3.4,49524,0,0,49524
Minnesota,,,2002,3518184,3745577,3.8,7612,122692,3577,72535
Mississippi,,,2002,2047426,2099698,1.1,20542,16633,1816,30675
Missouri,,,2002,4116889,4262146,1.9,30649,54584,13533,71474
Montana,49.7,340272,2002,684572,690652,1.0,3440,0,0,3440
Nebraska,,,2002,1204512,1285024,3.8,4103,16468,574,12911
Nevada,36.8,512433,2002,1391100,1640679,12.7,10527,12290,3971,20643
New Hampshire,48.7,453078,2002,930362,960401,3.0,2483,0,0,2483
New Jersey,38.9,2161105,2002,5549726,6448445,11.5,28213,134290,12576,107934
New Mexico,40.0,502230,2002,1255086,1360130,7.0,6173,16287,1962,16279
New York,37.0,4690968,2002,12679865,14504792,12.6,65914,0,55990,121904
North Carolina,,,2002,5876705,6314679,5.0,33334,112900,2805,92589
North Dakota,49.8,237224,2002,476251,486797,1.2,1168,0,0,1168
Ohio,40.3,3356285,2002,8322521,8556557,1.9,45831,0,0,45831
Oklahoma,,,2002,2513143,2610016,3.3,23004,29881,3573,41518
Oregon,51.8,1293756,2002,2495739,2674581,6.7,12422,0,0,12422
Pennsylvania,,,2002,9143001,9454338,2.6,40545,0,0,40545
Rhode Island,45.4,337027,2002,741776,819310,7.4,3569,25914,384,16910
South Carolina,,,2002,2982810,3100548,2.6,24247,41574,3491,48525
South Dakota,61.2,340407,2002,556154,564305,1.3,3059,0,0,3059
Tennessee,,,2002,4151834,4393757,2.5,25409,42712,7949,54714
Texas,34.5,4552059,2002,13181016,15718593,12.1,164222,434486,103068,484533
Utah,37.8,568290,2002,1504529,1601707,6.5,5594,0,0,5594
Vermont,49.4,232993,2002,471403,472402,2.1,0,0,0,0
Virginia,32.3,1661915,2002,5138270,5536511,6.0,34733,40359,4530,59443
Washington,43.5,1808720,2002,4162032,4553733,7.3,16284,171603,95,102181
West Virginia,31.5,440156,2002,1398124,1413580,0.6,4703,6430,999,8917
Wisconsin,,,2002,3908088,4094028,2.6,22366,54614,11088,60761
Wyoming,50.8,188028,2002,370488,376121,1.6,1809,4596,570,4677
United States,60.7,123535883,2004,203483455,220336019,8.2,1490169,2387283,474632,3158443
Alabama,57.4,1890317,2004,3292608,3427542,1.9,26521,36795,7745,52664
Alaska,69.6,314502,2004,452124,476378,4.0,4515,5547,951,8240
Arizona,54.8,2038069,2004,3717055,4215706,11.5,31631,69343,5671,71974
Arkansas,54.4,1070573,2004,1969208,2072986,2.8,13477,29128,14844,42885
California,59.6,12589367,2004,21132533,26246548,18.8,166053,0,110261,276314
Colorado,67.3,2148036,2004,3192647,3443164,7.5,19756,0,7383,27139
Connecticut,66.2,1607808,2004,2429634,2652587,7.3,20018,0,2552,22570
Delaware,64.5,377407,2004,584817,635370,4.7,6973,18725,539,16875
District of Columbia,54.9,230105,2004,419142,458758,10.0,0,0,0,0
Florida,64.7,7640319,2004,11811921,13643828,11.2,84733,281170,4888,230206
Georgia,56.4,3317336,2004,5878186,6499325,6.8,48625,419350,23344,281644
Hawaii,48.5,431662,2004,889540,982882,7.9,5946,0,0,5946
Idaho,64.8,612786,2004,946160,1016255,4.1,6312,44580,2370,30972
Illinois,62.4,5350493,2004,8576696,9391420,9.0,44379,0,0,44379
Indiana,55.8,2512142,2004,4504260,4660157,2.7,23760,0,0,23760
Iowa,70.6,1521966,2004,2156389,2239979,2.6,8611,22832,3317,23344
Kansas,62.9,1213108,2004,1928764,2032763,4.3,9152,14309,4525,20832
Kentucky,59.4,1816867,2004,3057741,3157464,1.7,17763,33286,8006,42412
Louisiana,61.5,1956590,2004,3182762,3379937,1.8,36745,38470,24387,80367
Maine,74.9,751519,2004,1003792,1022043,1.6,0,0,0,0
Maryland,63.1,2395791,2004,3797264,4179376,7.2,23727,76676,14351,76416
Massachusetts,64.6,2927455,2004,4533859,4935787,8.4,10365,0,0,10365
Michigan,67.1,4875692,2004,7263024,7508568,3.4,48591,0,0,48591
Minnesota,78.8,2842912,2004,3609185,3819020,3.9,8613,114226,3872,69598
Mississippi,,,2004,2068766,2133681,1.2,20429,21324,1979,33070
Missouri,66.1,2764635,2004,4180960,4339414,1.9,30775,53832,17400,75091
Montana,65.2,456096,2004,699114,711858,1.0,3800,0,0,3800
Nebraska,64.1,792906,2004,1236522,1305430,4.0,4042,17994,805,13844
Nevada,55.4,831563,2004,1501437,1776962,13.2,10971,12521,3610,20842
New Hampshire,71.5,683672,2004,956422,984422,3.2,2441,0,0,2441
New Jersey,64.2,3638153,2004,5663201,6513394,11.7,28107,143315,14180,113945
New Mexico,60.4,775301,2004,1282767,1411419,7.4,6341,17725,2676,17880
New York,58.5,7448266,2004,12738056,14598898,12.6,64596,0,54524,119120
North Carolina,58.7,3552449,2004,6055771,6505150,5.3,34917,111537,2882,93568
North Dakota,65.5,316049,2004,482722,496479,1.3,1266,0,0,1266
Ohio,67.9,5722443,2004,8427696,8624277,2.0,44770,0,0,44770
Oklahoma,,,2004,2510823,2649994,3.4,24767,28435,4329,43314
Oregon,72.6,1851671,2004,2550887,2736472,6.8,13219,0,0,13219
Pennsylvania,,,2004,9221962,9554349,2.7,40692,0,0,40692
Rhode Island,58.9,440228,2004,747046,827513,7.6,3701,26085,368,17112
South Carolina,53.2,1626720,2004,3055098,3198733,2.7,24173,38856,2217,45818
South Dakota,69.4,394930,2004,569161,576472,1.4,3101,0,0,3101
Tennessee,56.8,2456610,2004,4328446,4496929,2.6,25834,47392,8410,57940
Texas,,,2004,13796256,16284659,12.5,169110,428773,102072,485569
Utah,59.8,942010,2004,1574463,1664066,6.8,5802,0,0,5802
Vermont,66.7,314220,2004,470754,480053,2.1,0,0,0,0
Virginia,61.1,3223156,2004,5277156,5699175,6.2,35472,43470,4392,61599
Washington,67.5,2883499,2004,4272914,4683829,7.4,16559,125222,120,79290
West Virginia,55.1,769645,2004,1396545,1425689,0.6,4980,6977,1216,9685
Wisconsin,75.3,3016288,2004,4006948,4172068,2.7,22905,54970,13883,64273
Wyoming,66.3,245789,2004,370785,386796,1.7,1923,4418,563,4695
United States,41.3,85769132,2006,207643594,225485399,8.6,1566526,2418574,587305,3363118
Alabama,,,2006,3338467,3513952,2.3,28241,55766,7795,63919
Alaska,51.2,238307,2006,465169,492452,4.5,5069,6095,973,9090
Arizona,39.6,1553032,2006,3923786,4490327,12.6,35892,73265,6213,78738
