State,Turnout, VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,Year
New Hampshire,42.9,41.4,39.9,418550,403531,975281,1006234,3.4,2805,0,0,2805,,2006
New Jersey,40.6,39.5,34.1,2315643,2250070,5701033,6565183,12.0,27371,132636,13874,107563,,2006
New Mexico,43.1,42.5,38.6,568597,561084,1320285,1464560,8.0,6639,16493,2831,17717,,2006
New York,36.5,34.9,30.3,4703830,4490053,12878632,14665626,12.4,63315,0,53533,116848,,2006
North Carolina,32.5,31.0,28.7,2036451,1940808,6264630,6799585,5.8,37460,110419,3101,95771,,2006
North Dakota,45.4,44.9,44.1,220479,218152,486142,503647,1.5,1363,0,0,1363,,2006
Ohio,49.5,47.5,46.3,4184072,4022754,8461211,8687609,2.2,49166,0,0,49166,,2006
Oklahoma,,36.4,34.3,,926462,2547224,2709819,3.9,26243,27415,4329,44280,,2006
Oregon,53.2,52.5,48.4,1399650,1379475,2628937,2829482,7.3,13707,0,0,13707,,2006
Pennsylvania,,44.1,42.6,,4096077,9283762,9680466,3.0,44397,0,0,44397,,2006
Rhode Island,52.1,51.0,46.7,392882,384993,754219,824887,8.1,3996,0,0,3996,,2006
South Carolina,35.4,34.6,33.1,1117311,1091952,3152046,3332190,3.2,23616,38353,3072,45865,,2006
South Dakota,58.8,57.8,56.4,341105,335508,580592,589178,1.4,3359,0,2444,5803,,2006
Tennessee,42.1,41.4,39.5,1868363,1833695,4433921,4641909,3.1,25745,52558,8630,60654,,2006
Texas,,30.9,25.8,,4399068,14255313,17029802,13.4,172116,431967,101916,490016,,2006
Utah,35.0,34.3,31.8,582561,571252,1664323,1752158,7.1,6430,0,0,6430,,2006
Vermont,55.0,54.9,53.8,263025,262726,478247,487141,2.0,0,0,0,0,,2006
Virginia,44.5,44.0,40.6,2398589,2370445,5385522,5867219,6.7,36688,48144,4499,65259,,2006
Washington,47.3,47.3,42.7,2085074,2083734,4403981,4861001,8.0,17561,108076,11568,83167,,2006
West Virginia,33.8,32.8,32.3,473014,459884,1401490,1439052,0.7,5733,7668,1416,10983,,2006
Wisconsin,53.7,53.2,50.8,2183155,2161700,4064432,4240696,2.9,23431,55806,15907,67241,,2006
Wyoming,51.8,51.1,49.4,196217,193892,379127,400187,2.0,2114,5225,609,5336,,2006
United States,62.2,61.6,56.9,132609063,131304731,213313508,230872030,8.4,1605448,2451085,627680,3144831,4972217,2008
Alabama,61.0,60.8,58.4,2105622,2099819,3454510,3595708,2.2,30508,53252,8042,61155,74079,2008
Alaska,68.3,68.0,64.3,327341,326197,479429,507645,3.7,5014,6708,1732,9234,60686,2008
Arizona,57.4,56.7,49.1,2320851,2293475,4046075,4673718,11.6,39589,82232,7534,84472,90036,2008
Arkansas,52.9,52.5,50.0,1095958,1086617,2071563,2174846,2.9,14716,31169,19908,40255,43963,2008
California,61.7,60.9,49.5,13743177,13561900,22261504,27411094,17.9,173670,0,120753,234047,486207,2008
Colorado,71.6,71.0,64.7,2422236,2401361,3382959,3708955,8.0,23274,0,11654,29101,71854,2008
Connecticut,,66.6,60.4,,1646792,2471082,2725917,8.5,20661,0,2328,21825,45799,2008
Delaware,65.8,65.6,60.6,413562,412398,628200,680493,5.3,7075,17216,551,15959,12658,2008
District of Columbia,61.7,61.5,55.2,266871,265853,432566,481971,10.3,0,0,0,0,6916,2008
Florida,66.6,66.1,57.6,8453743,8390744,12687407,14558436,11.2,102388,279760,4528,244532,451907,2008
Georgia,62.7,62.5,55.6,3940705,3924440,6281872,7063638,7.3,52719,397081,23448,262984,141001,2008
Hawaii,49.0,48.8,43.8,456064,453568,930067,1036088,9.7,5955,0,0,5955,20090,2008
Idaho,64.8,63.6,58.6,667506,655032,1029416,1117842,4.9,7290,49513,3361,33727,26779,2008
Illinois,64.3,63.6,57.4,5578195,5523051,8681138,9615700,9.2,45474,0,0,45474,200530,2008
Indiana,60.3,59.1,57.0,2805986,2751054,4653019,4826231,3.0,28322,0,0,28322,89605,2008
Iowa,69.7,69.4,66.9,1543662,1537123,2216094,2298515,2.6,8766,22958,3159,21825,43108,2008
Kansas,63.5,62.0,58.8,1264208,1235872,1991759,2100084,4.2,8539,16263,4958,19150,42495,2008
Kentucky,59.0,57.9,55.7,1858578,1826508,3152629,3277617,2.2,21706,51035,12277,53362,58518,2008
Louisiana,61.8,61.2,58.7,1979852,1960761,3205794,3342279,2.0,38381,40025,24636,70712,68285,2008
Maine,71.8,70.6,69.6,744456,731163,1036242,1049816,1.3,0,0,0,0,21362,2008
Maryland,67.8,67.0,60.6,2661905,2631596,3925117,4342850,7.8,23324,96360,13220,78114,77074,2008
Massachusetts,67.3,66.8,60.9,3102995,3080985,4612550,5058035,8.6,11408,0,0,11408,77830,2008
Michigan,69.7,69.2,66.4,5039080,5001766,7229512,7528460,3.3,48738,0,0,48738,163673,2008
Minnesota,78.1,77.8,73.2,2921147,2910369,3740142,3975974,4.0,9910,127627,5081,76264,70063,2008
Mississippi,,61.0,58.9,,1289856,2113347,2190402,1.9,22754,22267,2922,35349,45082,2008
Missouri,68.2,67.6,64.9,2950504,2925205,4327572,4507688,2.5,30186,57360,20683,69208,96710,2008
Montana,67.1,66.3,65.1,497599,491960,741853,755384,1.3,3545,0,0,3545,22898,2008
Nebraska,63.7,62.9,59.4,811923,801281,1274719,1348048,4.3,4520,19606,846,14746,27311,2008
Nevada,57.2,57.0,48.4,970019,967848,1696831,2000277,14.1,12743,13337,3908,21366,45656,2008
New Hampshire,72.5,71.7,69.6,719643,710970,992226,1021787,2.6,2702,0,0,2702,25558,2008
New Jersey,67.7,67.0,58.2,3910220,3868237,5776527,6651284,11.7,25953,128737,15849,98246,110559,2008
New Mexico,61.2,60.9,55.1,833365,830158,1362629,1505830,8.3,6402,20883,3724,18706,31444,2008
New York,59.6,59.0,51.4,7721718,7640640,12948969,14876971,12.4,60347,0,52225,86460,263787,2008
North Carolina,66.1,65.5,60.7,4354571,4310789,6584302,7096503,5.9,39482,109678,3409,96026,133483,2008
North Dakota,63.6,62.7,61.7,321133,316621,504762,512768,1.3,1452,0,0,1452,11179,2008
Ohio,67.8,66.9,65.1,5773777,5698260,8513079,8757453,2.2,51686,0,0,51686,174703,2008
Oklahoma,56.3,55.8,52.8,1474694,1462661,2619121,2770219,4.0,25864,27940,3073,41371,57046,2008
Oregon,68.3,67.7,62.7,1845251,1827864,2700327,2916246,6.9,14167,0,0,14167,63480,2008
Pennsylvania,64.2,63.6,61.3,6071357,6012692,9457942,9813664,3.1,49215,0,0,49215,203791,2008
Rhode Island,62.3,61.8,57.1,475428,471766,763608,825786,7.0,4045,0,0,4045,13827,2008
South Carolina,58.2,58.0,55.3,1927153,1920969,3311044,3473488,3.4,24326,41254,1947,45927,72241,2008
South Dakota,65.6,64.7,63.4,387449,381975,590720,602539,1.2,3342,0,2720,4702,20144,2008
Tennessee,57.4,57.0,54.5,2618238,2599749,4563192,4771926,3.1,27228,58109,10578,61572,127930,2008
Texas,,54.1,45.5,,8077795,14929810,17756112,13.5,172506,427080,102921,437507,549216,2008
Utah,57.1,56.0,51.8,971185,952370,1700286,1840087,7.2,6552,0,0,6552,31783,2008
Vermont,67.7,67.3,66.0,326822,325046,482677,492610,2.0,0,0,0,0,10546,2008
Virginia,67.6,67.0,61.8,3753059,3723260,5555415,6022123,6.6,38276,53614,4471,67319,124689,2008
Washington,67.3,66.6,60.3,3071587,3036878,4561163,5032960,7.8,17926,113134,11768,80377,138296,2008
West Virginia,51.2,49.9,49.1,731691,713362,1430439,1453045,0.8,6059,8283,2005,11203,33788,2008
Wisconsin,72.7,72.4,69.3,2997086,2983417,4120694,4306876,3.0,23379,50418,18105,57641,78721,2008
Wyoming,63.1,62.8,60.9,256035,254658,405732,418040,1.7,2084,5438,727,5167,13832,2008
United States,41.8,41.0,37.8,90912015,89099476,217551109,236022989,8.5,1512225,1321051,629644,3244035,4972217,2010
